Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,14937242,255500,14031862,11.46,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,12031209,1647000,2827892,7.34,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1537343,191600,2510353,8.6,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1373329,1041000,455382,4.19,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1046459,1401000,622762,107.9,7.7,,○ 우량주(#5)
005380,현대차,자동차,785246,383500,358567,12.49,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,669830,1447000,45399,39.97,19.44,,○ 우량주(#7)
105560,KB금융,은행,610063,172000,1344239,10.27,9.98,,△ 중대형(#8)
028260,삼성물산,복합기업,595155,367000,395781,22.22,6.02,,△ 중대형(#9)
032830,삼성생명,생명보험,595000,297500,292663,21.23,4.96,,△ 중대형(#10)
