카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,89,1.42,52.8,31.69,-26.89,9.41,5일
[E] 과매도,230,-0.68,43.9,34.33,-22.69,9.06,5일
[F] 단기관심,125,-0.71,43.2,33.89,-32.13,10.69,5일
