Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,19526571,334000,29237216,27.0,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,18886613,2650000,5109213,25.6,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,2239334,1697000,1515394,14.41,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1701027,212000,4357953,17.14,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1631310,2184000,1322616,206.29,7.7,,○ 우량주(#5)
005380,현대차,자동차,1013551,495000,786003,15.26,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,802000,401000,514927,27.93,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,759755,468500,734101,31.42,6.02,,△ 중대형(#8)
207940,삼성바이오로직스,제약,643907,1391000,74245,45.19,19.44,,△ 중대형(#9)
329180,HD현대중공업,조선,621370,592000,355469,29.25,18.82,,△ 중대형(#10)
