Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.4,36.85,6290,1132,0.036,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.66,31.51,2500,1251,0.055,◎ 매우 저평가
016880,웅진,출판,3.18,96.89,1884,1506,0.087,◎ 매우 저평가
136490,선진,식품,1.95,23.5,9230,2195,0.105,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.06,23.71,40450,1566,0.105,◎ 매우 저평가
002380,KCC,건축자재,2.53,23.51,486500,41804,0.127,◎ 매우 저평가
001450,현대해상,손해보험,2.96,20.6,34850,29709,0.189,○ 저평가
015760,한국전력,전기유틸리티,2.73,19.4,37000,237527,0.193,○ 저평가
096760,JW홀딩스,제약,3.93,23.57,3675,2717,0.224,○ 저평가
023590,다우기술,증권,2.6,15.95,35600,15410,0.247,○ 저평가
