섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,15.23,14.27,,27386614
은행,11,11.09,7.87,,2140580
조선,14,-1.51,22.5,,1656064
제약,62,3.04,3.12,,1571074
자동차,10,8.11,9.16,15.62,1477754
전기제품,11,3.31,-9.42,,1236436
전자장비와기기,20,27.14,0.59,,1174436
우주항공과국방,8,41.49,18.71,,1142113
전기장비,14,49.06,16.91,,1140321
복합기업,17,41.36,2.65,,1111584
증권,33,8.34,8.4,,926295
자동차부품,73,4.73,5.55,,836542
석유와가스,12,7.63,-0.77,,802586
화학,72,-48.59,5.75,9.2,740316
기계,22,16.29,3.11,19.35,716487
생명보험,4,14.82,5.94,,650635
양방향미디어와서비스,3,22.12,5.08,,525703
손해보험,11,10.36,12.67,,513747
IT서비스,14,33.61,7.52,,480997
건설,39,13.81,7.26,,433142
화장품,19,12.8,15.5,,398481
철강,36,4.64,0.72,15.62,369525
식품,52,3.69,1.31,,355678
비철금속,26,6.96,3.38,8.87,321225
전자제품,4,-26.32,4.36,,297575
전기유틸리티,4,59.54,11.65,,294823
무선통신서비스,3,32.76,4.67,,259596
해운사,8,13.6,7.94,,247443
게임엔터테인먼트,5,10.34,11.92,,222085
항공사,8,6.91,-83.43,,213787
담배,1,17.99,11.77,,189662
백화점과일반상점,12,20.82,1.63,,188823
"섬유,의류,신발,호화품",45,15.21,5.45,11.43,184883
항공화물운송과물류,10,-1.54,7.48,,183483
에너지장비및서비스,10,-1.87,2.08,,150530
기타,25,,,,143354
무역회사와판매업체,7,14.73,84.01,,139822
다각화된통신서비스,1,8.74,10.22,,134832
부동산,28,31.35,1.34,17.0,95863
방송과엔터테인먼트,8,52.6,-2.5,,94865
가정용기기와용품,5,9.69,11.76,,93783
건축자재,31,2.22,3.84,,84083
가스유틸리티,11,5.65,7.33,,75950
"호텔,레스토랑,레저",10,9.65,5.36,,75178
운송인프라,3,6.38,10.46,,63264
카드,1,8.88,7.45,,54859
디스플레이패널,2,-58.65,3.44,,48355
상업서비스와공급품,9,13.58,9.04,,44431
광고,3,8.21,10.32,,30930
통신장비,3,39.02,8.28,,29962
음료,9,2.89,3.71,,25721
포장재,16,-25.53,2.12,,24233
도로와철도운송,5,-8.97,-10.84,,23342
건강관리장비와용품,5,12.48,-4.92,,17815
가구,7,19.62,4.35,,16353
핸드셋,3,-12.2,4.47,,13391
복합유틸리티,1,2.31,14.84,9.57,7445
종이와목재,10,74.86,-4.03,,6927
디스플레이장비및부품,3,11.85,7.49,,6405
사무용전자제품,1,15.55,1.88,,3974
창업투자,1,14.42,5.99,,3109
교육서비스,4,-2.75,-12.33,13.97,2332
건축제품,4,0.5,-1.76,,2283
출판,2,3.45,96.89,,2256
건강관리업체및서비스,1,5.15,11.08,,2199
식품과기본식료품소매,2,3.17,11.89,,1673
전문소매,1,-16.5,-0.26,,1492
레저용장비와제품,2,3.97,6.36,,1414
가정용품,2,,,,1196
소프트웨어,1,9.37,5.56,,1172
생물공학,2,,,,1097
판매업체,2,-17.35,-9.09,,1035
컴퓨터와주변기기,2,,,,585
문구류,1,,,,304
