Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.35,36.85,6080,1094,0.036,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.79,31.51,2700,1351,0.06,◎ 매우 저평가
016880,웅진,출판,3.45,96.89,2045,1635,0.096,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",1.94,23.71,38150,1477,0.096,◎ 매우 저평가
136490,선진,식품,2.15,23.5,10190,2423,0.114,◎ 매우 저평가
002380,KCC,건축자재,2.23,23.51,429500,36906,0.114,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.65,19.4,35950,230786,0.189,○ 저평가
001450,현대해상,손해보험,3.28,20.6,38650,32948,0.196,○ 저평가
096760,JW홀딩스,제약,4.08,23.57,3810,2817,0.231,○ 저평가
023590,다우기술,증권,2.82,15.95,38600,16709,0.253,○ 저평가
