Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,18883480,323000,35436521,26.11,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,18729818,2628000,5217788,25.39,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,2164118,1640000,1286438,13.93,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1688991,210500,3463944,17.01,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1522258,2038000,794289,192.5,7.7,,○ 우량주(#5)
005380,현대차,자동차,1017646,497000,1190842,15.32,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,817000,408500,515300,28.46,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,763809,471000,726570,31.59,6.02,,△ 중대형(#8)
207940,삼성바이오로직스,제약,670293,1448000,85788,47.05,19.44,,△ 중대형(#9)
329180,HD현대중공업,조선,621370,592000,311351,29.25,18.82,,△ 중대형(#10)
