Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.36,36.85,6120,1102,0.036,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.64,31.51,2475,1239,0.054,◎ 매우 저평가
016880,웅진,출판,3.19,96.89,1894,1514,0.083,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.12,23.71,41550,1609,0.105,◎ 매우 저평가
136490,선진,식품,1.95,23.5,9260,2202,0.105,◎ 매우 저평가
002380,KCC,건축자재,2.55,23.51,490500,42148,0.123,◎ 매우 저평가
001450,현대해상,손해보험,2.95,20.6,34700,29581,0.184,○ 저평가
015760,한국전력,전기유틸리티,2.82,19.4,38250,245551,0.195,○ 저평가
096760,JW홀딩스,제약,3.99,23.57,3725,2754,0.224,○ 저평가
002990,금호건설,건설,4.36,26.79,8610,3208,0.242,○ 저평가
