섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,20.73,14.27,,41904671
은행,11,10.83,7.87,,1945403
전자장비와기기,20,38.48,0.59,,1910359
조선,14,1.29,22.5,,1798917
자동차,10,8.77,9.16,14.1,1713140
제약,62,-0.45,4.53,,1488104
전기제품,11,8.07,-9.42,,1468840
복합기업,17,48.59,2.65,,1408525
전기장비,14,58.85,17.0,,1345813
우주항공과국방,8,44.84,18.71,,1190842
증권,33,8.58,8.33,,974878
석유와가스,12,9.08,-0.77,,931419
생명보험,4,17.65,5.94,,895696
화학,72,-64.85,6.33,9.78,845246
자동차부품,74,5.06,5.72,16.03,816063
기계,22,16.22,3.12,19.43,794096
IT서비스,14,35.15,7.52,,492913
양방향미디어와서비스,3,20.35,5.08,,479991
손해보험,11,10.17,12.67,,479208
건설,39,13.65,6.87,,438517
철강,36,2.47,-0.0,14.16,379925
화장품,19,10.52,15.5,,358848
식품,52,2.04,1.16,,336710
전자제품,4,-23.9,4.36,,333790
전기유틸리티,4,63.44,11.65,,312474
비철금속,26,6.84,3.38,8.52,294212
무선통신서비스,3,32.32,4.67,,256038
백화점과일반상점,12,26.37,1.63,,250901
게임엔터테인먼트,5,10.44,11.92,,222654
해운사,8,13.58,7.94,,220852
항공사,8,6.23,-83.43,,210357
담배,1,17.01,11.77,,179281
"섬유,의류,신발,호화품",45,15.53,5.37,12.06,174569
에너지장비및서비스,10,-3.88,2.08,,171578
항공화물운송과물류,10,-3.45,6.89,,169289
기타,25,,,,169208
다각화된통신서비스,1,8.61,10.22,,132815
무역회사와판매업체,7,12.85,84.01,,128289
방송과엔터테인먼트,8,44.24,-12.33,,100285
부동산,28,30.19,1.34,17.38,94998
건축자재,31,1.53,3.39,,89103
가정용기기와용품,5,9.57,11.76,,88246
"호텔,레스토랑,레저",10,11.46,7.07,,81301
가스유틸리티,11,5.52,7.33,,72873
운송인프라,3,5.49,10.46,,64929
디스플레이패널,2,-73.62,3.44,,60510
카드,1,8.77,7.45,,54164
상업서비스와공급품,9,13.31,9.04,,42497
소프트웨어,2,23.25,10.78,,36168
통신장비,3,44.55,8.28,,34209
광고,3,8.05,10.32,,29760
음료,9,2.7,3.71,,25217
포장재,16,-13.47,2.8,,23736
도로와철도운송,5,-4.75,-7.55,,19965
건강관리장비와용품,5,12.55,-4.92,,18007
가구,7,18.48,4.35,,14779
핸드셋,3,-12.96,4.47,,14293
인터넷과카탈로그소매,1,9.82,4.36,,10476
디스플레이장비및부품,3,14.24,7.49,,7816
복합유틸리티,1,2.41,14.84,9.19,7758
종이와목재,10,84.0,-4.28,9.18,6577
사무용전자제품,1,15.2,1.88,,3886
창업투자,1,12.39,5.99,,2671
건축제품,4,-4.03,-11.82,,2246
교육서비스,4,,,12.42,2244
출판,2,3.19,96.89,,2152
건강관리업체및서비스,1,3.93,11.08,,1678
식품과기본식료품소매,2,3.01,11.89,,1621
레저용장비와제품,2,4.27,6.36,,1485
전문소매,1,-16.34,-0.26,,1478
가정용품,2,,,,1199
판매업체,2,-19.16,-9.09,,1081
생물공학,2,,,,1000
컴퓨터와주변기기,2,,,,608
문구류,1,,,,227
