Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
023530,롯데쇼핑,백화점과일반상점,129200,19.94,2.13,22.35,0.34,36549,◎ 극과매도(RSI 20)
069960,현대백화점,백화점과일반상점,137100,23.23,0.51,14.92,4.64,29565,○ 과매도(RSI 23)
011070,LG이노텍,전자장비와기기,614000,25.46,1.99,29.97,6.14,145316,△ 약과매도(RSI 25)
005380,현대차,자동차,403000,26.65,1.0,12.42,8.41,825174,△ 약과매도(RSI 27)
028260,삼성물산,복합기업,339500,27.73,6.93,22.77,6.02,550559,△ 약과매도(RSI 28)
001720,신영증권,증권,146400,27.78,3.83,16.14,8.04,24068,△ 약과매도(RSI 28)
064350,현대로템,우주항공과국방,132500,27.9,-9.99,17.79,30.05,144614,△ 약과매도(RSI 28)
004170,신세계,백화점과일반상점,517000,28.64,-2.64,65.1,0.32,48832,△ 약과매도(RSI 29)
336260,두산퓨얼셀,에너지장비및서비스,30000,28.64,-23.08,-18.07,-30.66,19648,△ 약과매도(RSI 29)
462870,시프트업,게임엔터테인먼트,30550,28.92,-3.17,9.37,22.71,17946,△ 약과매도(RSI 29)
