Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.28,36.85,5760,1037,0.036,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.68,31.51,2530,1266,0.057,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",1.94,23.71,38150,1477,0.093,◎ 매우 저평가
016880,웅진,출판,3.41,96.89,2020,1615,0.104,◎ 매우 저평가
136490,선진,식품,2.03,23.5,9640,2292,0.109,◎ 매우 저평가
002380,KCC,건축자재,2.17,23.51,417000,35832,0.114,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.67,19.4,36200,232391,0.182,○ 저평가
001450,현대해상,손해보험,3.38,20.6,39750,33886,0.209,○ 저평가
096760,JW홀딩스,제약,4.12,23.57,3850,2846,0.239,○ 저평가
023590,다우기술,증권,2.79,15.95,38150,16514,0.25,○ 저평가
