Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
035420,NAVER,양방향미디어와서비스,225000,21.03,14.56,2.71,63.7,19.53,23.74,353125,◎ 강세
017670,SK텔레콤,무선통신서비스,97900,15.58,8.06,3.04,64.7,57.39,18.63,210279,◎ 강세
018260,삼성에스디에스,IT서비스,217500,17.06,14.53,1.54,60.0,26.28,18.6,168297,◎ 강세
003230,삼양식품,식품,1220000,15.86,9.81,1.62,61.1,21.13,17.48,91903,◎ 강세
207940,삼성바이오로직스,제약,1545000,14.87,15.04,1.71,62.8,50.2,16.58,715195,◎ 강세
322000,HD현대에너지솔루션,에너지장비및서비스,134800,14.53,14.53,1.68,55.5,23.22,16.21,15098,◎ 강세
192820,코스맥스,화장품,192500,10.89,32.85,1.66,59.3,13.96,12.55,21848,◎ 강세
316140,우리금융지주,은행,33100,8.35,16.75,2.12,61.4,7.85,10.46,240998,○ 양호
