카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,99,0.73,50.5,43.02,-26.89,9.78,5일
[E] 과매도,249,-0.84,43.4,34.31,-22.69,8.12,5일
[F] 단기관심,125,-0.34,44.8,43.02,-32.13,10.92,5일
