Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
023530,롯데쇼핑,백화점과일반상점,117300,23.97,-6.83,20.29,0.34,33183,○ 과매도(RSI 24)
069960,현대백화점,백화점과일반상점,118800,24.17,-8.33,12.92,4.64,25619,○ 과매도(RSI 24)
004170,신세계,백화점과일반상점,423000,26.91,-16.07,53.26,0.32,39953,△ 약과매도(RSI 27)
008770,호텔신라,백화점과일반상점,43550,27.39,-7.54,-10.84,-14.46,17093,△ 약과매도(RSI 27)
000500,가온전선,전기장비,134200,27.75,-28.96,71.69,10.97,39962,△ 약과매도(RSI 28)
138930,BNK금융지주,은행,15170,28.25,-15.91,5.55,7.58,47077,△ 약과매도(RSI 28)
352820,하이브,방송과엔터테인먼트,168800,28.72,-20.38,-15.61,-7.33,72764,△ 약과매도(RSI 29)
066970,엘앤에프,전기제품,73300,29.46,-10.5,-5.72,-76.95,29821,△ 약과매도(RSI 29)
336260,두산퓨얼셀,에너지장비및서비스,24550,29.51,-42.64,-14.79,-30.66,16079,△ 약과매도(RSI 30)
180640,한진칼,항공사,111700,29.68,6.38,44.9,4.75,74573,△ 약과매도(RSI 30)
