섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,16.17,14.27,,31131521
은행,11,10.89,7.87,,2078451
조선,14,1.17,22.5,,1563714
제약,62,5.06,3.12,,1501251
자동차,10,8.01,9.16,16.26,1445425
전기제품,11,3.33,-9.42,,1165599
복합기업,17,40.42,2.65,,1122201
전자장비와기기,20,24.57,0.59,,1090369
우주항공과국방,8,37.24,18.71,,1022019
전기장비,14,46.24,17.0,,1013212
증권,33,7.66,8.4,,922836
석유와가스,12,7.62,-0.77,,833551
자동차부품,73,4.66,5.66,,782562
생명보험,4,14.75,5.94,,695328
화학,72,-42.32,5.75,9.41,693341
기계,22,14.13,3.11,20.63,635351
손해보험,11,9.91,12.67,,500954
양방향미디어와서비스,3,21.17,5.08,,493414
IT서비스,14,31.61,7.52,,433634
건설,39,12.6,7.26,,364958
철강,36,4.37,0.36,16.42,356308
화장품,19,11.56,15.5,,355765
식품,52,2.08,1.25,,342511
전기유틸리티,4,52.97,11.65,,281008
전자제품,4,-26.96,4.36,,275445
비철금속,26,6.73,3.38,,265340
해운사,8,13.35,7.94,,240687
무선통신서비스,3,29.82,4.67,,237834
게임엔터테인먼트,5,10.28,11.92,,225304
항공사,8,6.02,-83.43,,195897
백화점과일반상점,12,20.06,1.63,,188337
담배,1,17.64,11.77,,185925
"섬유,의류,신발,호화품",45,14.86,5.45,11.59,184297
항공화물운송과물류,10,-1.75,7.48,,176742
기타,25,,,,134998
무역회사와판매업체,7,13.54,84.01,,132096
다각화된통신서비스,1,8.47,10.22,,130799
에너지장비및서비스,10,-1.69,2.08,,126015
부동산,28,31.63,1.28,18.18,94747
방송과엔터테인먼트,8,50.06,-2.5,,89373
가정용기기와용품,5,9.37,11.76,,88911
건축자재,31,2.23,3.84,,78615
가스유틸리티,11,5.63,7.33,,76027
"호텔,레스토랑,레저",10,8.71,5.36,,72474
운송인프라,3,6.38,10.46,,64269
카드,1,8.81,7.45,,54454
디스플레이패널,2,-56.5,3.44,,46605
상업서비스와공급품,9,13.33,9.04,,42421
광고,3,8.03,10.32,,30433
통신장비,3,34.23,8.28,,26404
음료,9,2.83,3.71,,25526
포장재,16,-24.6,2.12,,22981
도로와철도운송,5,-8.06,-10.84,,22508
건강관리장비와용품,5,12.24,-4.92,,17382
가구,7,18.37,4.35,,15887
핸드셋,3,-10.95,4.47,,12030
복합유틸리티,1,2.41,14.84,9.18,7769
종이와목재,10,71.12,-4.03,,6682
디스플레이장비및부품,3,11.47,7.49,,6304
사무용전자제품,1,15.66,1.88,,4003
창업투자,1,14.03,5.99,,3024
건축제품,4,0.52,-1.76,,2217
교육서비스,4,-2.32,-12.33,11.74,2197
출판,2,3.32,96.89,,2187
건강관리업체및서비스,1,4.49,11.08,,1914
식품과기본식료품소매,2,3.1,11.89,,1610
전문소매,1,-16.06,-0.26,,1452
레저용장비와제품,2,3.91,6.36,,1390
가정용품,2,,,,1195
소프트웨어,1,9.09,5.56,,1137
생물공학,2,,,,1013
판매업체,2,,,,923
컴퓨터와주변기기,2,,,,589
문구류,1,,,,287
