Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
073240,금호타이어,자동차부품,7290,18.92,54.94,2.44,45.3,6.05,21.37,20941,◎ 강세
090430,아모레퍼시픽,화장품,130000,10.17,8.88,1.75,56.6,38.46,11.92,76041,○ 양호
005935,삼성전자우,반도체와반도체장비,191000,7.85,1.22,1.97,49.0,15.44,9.82,1532529,○ 양호
042700,한미반도체,반도체와반도체장비,214500,7.25,-2.28,2.18,48.5,114.89,9.43,204445,○ 양호
028670,팬오션,해운사,5470,3.6,10.06,4.05,56.7,9.03,7.65,29241,△ 보통
005930,삼성전자,반도체와반도체장비,262500,5.21,-8.22,1.86,45.4,21.22,7.07,15346481,△ 보통
103140,풍산,비철금속,71200,4.25,8.54,2.5,57.4,10.87,6.74,19953,△ 보통
068270,셀트리온,제약,186700,5.12,5.72,1.53,65.6,35.73,6.65,434178,△ 보통
192820,코스맥스,화장품,184700,3.53,10.4,1.68,58.2,13.39,5.21,20963,△ 보통
003550,LG,복합기업,101100,3.27,2.12,1.66,49.8,32.26,4.93,152855,△ 보통
