Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.25,36.85,5630,1013,0.039,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.71,31.51,2585,1294,0.067,◎ 매우 저평가
016880,웅진,출판,3.32,96.89,1967,1572,0.088,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",1.94,23.71,38150,1477,0.102,◎ 매우 저평가
002380,KCC,건축자재,2.01,23.51,388000,33340,0.115,◎ 매우 저평가
136490,선진,식품,2.01,23.5,9510,2261,0.118,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.57,19.4,34800,223403,0.191,○ 저평가
001450,현대해상,손해보험,3.27,20.6,38450,32778,0.208,○ 저평가
096760,JW홀딩스,제약,4.01,23.57,3750,2772,0.239,○ 저평가
023590,다우기술,증권,2.68,15.95,36650,15865,0.261,○ 저평가
