Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
007810,코리아써키트,전자장비와기기,68900,8.9,-27.85,26.48,11.54,16524,◎ 극과매도(RSI 9)
017670,SK텔레콤,무선통신서비스,85200,9.88,-3.62,49.94,3.33,183001,◎ 극과매도(RSI 10)
307950,현대오토에버,IT서비스,481500,9.94,-9.15,73.03,10.27,132046,◎ 극과매도(RSI 10)
489790,한화비전,통신장비,47000,14.79,-13.28,69.73,5.4,23730,◎ 극과매도(RSI 15)
020150,롯데에너지머티리얼즈,전자장비와기기,35800,14.86,-19.46,-17.16,-10.54,18747,◎ 극과매도(RSI 15)
088350,한화생명,생명보험,4470,15.25,-1.54,5.25,6.51,38823,◎ 극과매도(RSI 15)
011070,LG이노텍,전자장비와기기,814000,15.88,-17.02,39.74,6.14,192650,◎ 극과매도(RSI 16)
007340,DN오토모티브,자동차부품,36600,16.54,-4.19,7.33,15.02,21415,◎ 극과매도(RSI 17)
279570,케이뱅크,은행,5470,16.86,-3.7,15.95,5.4,22192,◎ 극과매도(RSI 17)
035420,NAVER,양방향미디어와서비스,197200,16.88,-0.9,17.12,7.37,309382,◎ 극과매도(RSI 17)
