섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,18.28,14.27,,31534409
은행,11,11.2,7.87,,2134290
조선,14,-1.47,22.5,,1689214
자동차,10,8.51,9.16,15.46,1624574
제약,62,4.63,4.44,,1617642
전자장비와기기,20,32.98,0.59,,1464729
전기제품,11,4.15,-9.42,,1385240
우주항공과국방,8,44.98,18.71,,1240928
복합기업,17,43.45,2.65,,1207088
전기장비,14,49.94,16.91,,1206642
증권,33,8.64,8.4,,937989
석유와가스,12,8.3,-0.77,,934486
자동차부품,73,-57.36,5.55,9.95,894001
화학,72,-55.61,5.75,8.99,801139
기계,22,16.7,3.63,19.32,764371
생명보험,4,16.55,5.94,,691958
양방향미디어와서비스,3,22.92,5.08,,536524
IT서비스,14,37.73,7.52,,534082
손해보험,11,10.61,12.67,,519299
건설,39,14.12,7.26,,448302
화장품,19,13.49,15.5,,410159
철강,36,6.41,0.72,13.18,387594
전자제품,4,-50.45,4.36,,364352
식품,52,2.15,1.25,,363041
비철금속,26,6.51,3.51,8.73,315798
무선통신서비스,3,35.53,4.67,,280049
전기유틸리티,4,60.26,11.65,,276818
해운사,8,14.86,7.94,,246158
게임엔터테인먼트,5,10.43,11.92,,226829
항공사,8,6.47,-83.43,,203864
백화점과일반상점,12,20.99,1.63,,188262
항공화물운송과물류,10,-1.73,7.48,,186025
에너지장비및서비스,10,-3.63,2.08,,185678
담배,1,17.33,11.77,,182706
"섬유,의류,신발,호화품",45,16.28,6.0,11.36,178304
기타,25,,,,153443
무역회사와판매업체,7,14.37,84.01,,136068
다각화된통신서비스,1,8.72,10.22,,134580
부동산,28,32.57,1.34,16.52,100480
방송과엔터테인먼트,8,54.37,-2.5,,94570
가정용기기와용품,5,7.46,13.41,,94353
건축자재,31,2.37,3.84,,87969
가스유틸리티,11,6.02,7.33,,80661
"호텔,레스토랑,레저",9,10.45,3.32,,74901
운송인프라,3,6.06,10.46,,61759
카드,1,9.11,7.45,,56249
디스플레이패널,2,-63.01,3.44,,51905
상업서비스와공급품,9,13.89,9.04,,46258
통신장비,3,43.82,8.28,,33977
광고,3,8.25,10.32,,30690
음료,9,2.74,3.71,,26241
도로와철도운송,5,-3.46,-7.55,,25551
포장재,16,-26.17,2.12,,24910
건강관리장비와용품,5,12.36,-4.92,,18270
가구,7,20.02,4.35,,16510
핸드셋,3,-13.62,4.47,,14077
복합유틸리티,1,2.75,14.84,,8846
디스플레이장비및부품,3,-97.72,-3.54,,7786
종이와목재,10,76.31,-4.03,,6991
사무용전자제품,1,16.4,1.88,,4192
창업투자,1,15.58,5.99,,3358
건강관리업체및서비스,1,6.12,11.08,,2612
건축제품,4,0.5,-1.76,,2422
출판,2,3.67,96.89,,2381
교육서비스,4,-2.57,-12.33,11.73,2312
식품과기본식료품소매,2,3.46,11.89,,1793
전문소매,1,-17.0,-0.26,,1537
레저용장비와제품,2,3.99,6.36,,1435
가정용품,2,,,,1270
소프트웨어,1,9.48,5.56,,1186
판매업체,2,-20.0,-9.09,,1135
생물공학,2,,,,1083
컴퓨터와주변기기,2,,,,601
문구류,1,,,,317
