Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,16048035,274500,21669476,22.19,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,12016599,1645000,4520990,15.89,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1569438,195600,3859277,15.81,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1522800,1154000,658916,9.8,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1163728,1558000,968103,147.16,7.7,,○ 우량주(#5)
005380,현대차,자동차,927553,453000,1203960,13.97,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,716584,1548000,29916,50.29,19.44,,○ 우량주(#7)
032830,삼성생명,생명보험,602000,301000,393407,20.97,4.96,,△ 중대형(#8)
028260,삼성물산,복합기업,598398,369000,276255,24.75,6.02,,△ 중대형(#9)
012450,한화에어로스페이스,우주항공과국방,598135,1160000,172790,36.43,19.14,,△ 중대형(#10)
