카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,96,1.62,52.1,43.02,-26.89,10.63,5일
[E] 과매도,241,-0.97,42.3,34.31,-22.69,8.55,5일
[F] 단기관심,129,0.46,48.1,43.02,-32.13,11.44,5일
