Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.45,36.85,6520,1174,0.036,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.8,31.51,2720,1361,0.061,◎ 매우 저평가
016880,웅진,출판,3.67,96.89,2175,1738,0.082,◎ 매우 저평가
136490,선진,식품,2.2,23.5,10450,2485,0.108,◎ 매우 저평가
002380,KCC,건축자재,2.42,23.51,465500,40000,0.111,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.45,19.4,33250,213453,0.17,○ 저평가
001450,현대해상,손해보험,3.85,20.6,45350,38660,0.211,○ 저평가
096760,JW홀딩스,제약,4.43,23.57,4135,3057,0.24,○ 저평가
023590,다우기술,증권,2.94,15.95,40250,17423,0.251,○ 저평가
003650,미창석유,화학,3.1,15.44,147400,2564,0.269,○ 저평가
