Code,종목명,섹터,종가,MA5,MA20,거래량배수,5일수익률(%),시총_억,평가
483650,달바글로벌,화장품,265000,252200.0,224380.0,3.33,19.37,33109,◎ 강한신호(거래량 3.3배)
003230,삼양식품,식품,1220000,1180200.0,1132150.0,3.18,10.01,91903,◎ 강한신호(거래량 3.2배)
007310,오뚜기,식품,319000,317100.0,314625.0,3.01,3.07,12785,◎ 강한신호(거래량 3.0배)
068270,셀트리온,제약,180000,177180.0,175675.0,2.93,5.82,418597,○ 양호(거래량 2.9배)
004370,농심,식품,377500,372500.0,357550.0,2.33,7.55,22962,○ 양호(거래량 2.3배)
047810,한국항공우주,우주항공과국방,117500,145780.0,148425.0,2.07,-21.3,114533,○ 양호(거래량 2.1배)
071970,HD현대마린엔진,조선,47950,60710.0,60182.5,2.02,-25.77,16265,○ 양호(거래량 2.0배)
097950,CJ제일제당,식품,190600,191360.0,190825.0,1.99,2.75,28693,△ 보통(거래량 2.0배)
030000,제일기획,광고,18800,18930.0,18820.5,1.95,1.4,21628,△ 보통(거래량 1.9배)
009540,HD한국조선해양,조선,335000,364100.0,351175.0,1.87,-5.23,237090,△ 보통(거래량 1.9배)
