Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
483650,달바글로벌,화장품,265000,19.37,14.47,3.33,69.0,35.69,22.7,33109,◎ 강세
003230,삼양식품,식품,1220000,10.01,9.03,3.18,58.8,21.13,13.19,91903,◎ 강세
192820,코스맥스,화장품,184700,9.16,19.24,1.56,53.3,13.39,10.72,20963,○ 양호
004370,농심,식품,377500,7.55,12.52,2.33,61.2,12.86,9.88,22962,○ 양호
068270,셀트리온,제약,180000,5.82,3.87,2.93,55.4,34.44,8.75,418597,○ 양호
082640,동양생명,생명보험,8100,6.58,15.22,1.8,60.6,12.66,8.38,12641,○ 양호
271560,오리온,식품,135000,4.98,2.35,2.48,40.6,13.25,7.46,53364,△ 보통
383220,F&F,"섬유,의류,신발,호화품",77600,4.86,0.52,2.08,44.2,5.79,6.95,29726,△ 보통
316140,우리금융지주,은행,32050,4.57,10.52,1.6,57.5,7.6,6.17,233353,△ 보통
007310,오뚜기,식품,319000,3.07,5.28,3.01,51.0,17.8,6.08,12785,△ 보통
