섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,12.93,14.27,,25047401
은행,11,10.49,7.87,,2005772
제약,62,5.21,3.03,,1467421
조선,14,1.02,22.5,,1413000
자동차,10,7.34,9.16,16.69,1316150
전기제품,11,2.83,-9.42,,1066816
전자장비와기기,20,21.86,0.59,9.85,977342
복합기업,17,35.68,2.65,,962688
우주항공과국방,8,33.17,18.71,,908635
전기장비,14,41.27,17.0,,885489
증권,33,6.27,8.95,,835839
석유와가스,12,7.31,-0.77,,776040
자동차부품,73,4.37,5.55,,731887
화학,72,-37.43,5.75,9.54,635866
생명보험,4,13.34,5.94,,598091
기계,22,15.56,3.37,21.55,584885
손해보험,11,9.58,12.67,,475115
양방향미디어와서비스,3,20.04,5.08,,473807
IT서비스,14,29.14,7.52,,407138
화장품,19,11.61,15.5,,352671
식품,52,3.55,1.31,,344581
건설,39,11.47,7.45,,333326
철강,36,4.72,0.36,16.96,331153
전기유틸리티,4,48.59,11.65,,266033
전자제품,4,-25.42,4.36,,255449
비철금속,26,6.16,3.51,,243419
무선통신서비스,3,28.86,4.67,,230251
해운사,8,12.32,7.94,,230242
게임엔터테인먼트,5,9.91,11.92,,219945
항공사,8,6.04,-83.43,,190470
담배,1,17.98,11.77,,189558
백화점과일반상점,12,19.69,1.63,,188746
"섬유,의류,신발,호화품",45,14.26,5.45,11.96,180797
항공화물운송과물류,10,-1.73,7.48,,166665
다각화된통신서비스,1,8.79,10.22,,135588
기타,25,,,,126336
무역회사와판매업체,7,12.6,84.01,,123038
에너지장비및서비스,10,-1.41,2.08,,113664
부동산,28,32.52,1.28,18.29,93449
방송과엔터테인먼트,8,49.15,-2.5,,88664
가정용기기와용품,5,8.99,11.76,,87395
건축자재,31,2.03,3.84,,74019
가스유틸리티,11,5.47,7.33,,73911
"호텔,레스토랑,레저",10,8.51,5.36,,71025
운송인프라,3,5.49,10.46,,62931
카드,1,8.89,7.45,,54917
디스플레이패널,2,-52.58,3.44,,43360
상업서비스와공급품,9,13.26,9.04,,42316
광고,3,7.97,10.32,,30293
음료,9,2.75,3.71,,25378
포장재,16,-22.31,2.12,,22085
통신장비,3,27.53,8.28,,21594
도로와철도운송,5,-8.01,-10.84,,21425
건강관리장비와용품,5,12.09,-4.92,,16715
가구,7,18.02,4.35,,15442
핸드셋,3,-9.68,4.47,,11236
복합유틸리티,1,2.25,14.84,9.87,7225
종이와목재,10,63.86,-4.03,,6403
디스플레이장비및부품,3,10.4,7.49,,5828
사무용전자제품,1,14.75,1.88,,3770
창업투자,1,13.24,5.99,,2854
건축제품,4,0.52,-1.76,,2106
교육서비스,4,-2.23,-12.33,12.69,2082
출판,2,2.93,96.89,,1991
건강관리업체및서비스,1,4.35,11.08,,1855
식품과기본식료품소매,2,2.99,11.89,,1572
전문소매,1,-16.16,-0.26,,1461
레저용장비와제품,2,3.82,6.36,,1330
가정용품,2,8.25,11.51,,1162
소프트웨어,1,8.92,5.56,,1115
생물공학,2,,,,1007
판매업체,2,,,,870
컴퓨터와주변기기,2,,,,626
문구류,1,,,,273
