Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
013520,화승코퍼레이션,자동차부품,1.53,31.51,2305,1154,0.059,◎ 매우 저평가
016880,웅진,출판,2.93,96.89,1740,1391,0.07,◎ 매우 저평가
002380,KCC,건축자재,1.83,23.51,352500,30290,0.107,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",1.94,23.71,38150,1477,0.112,◎ 매우 저평가
136490,선진,식품,1.89,23.5,8970,2133,0.118,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.44,19.4,33100,212490,0.193,○ 저평가
002990,금호건설,건설,3.7,26.79,7300,2720,0.202,○ 저평가
001450,현대해상,손해보험,3.13,20.6,36900,31457,0.216,○ 저평가
096760,JW홀딩스,제약,3.84,23.57,3590,2654,0.243,○ 저평가
023590,다우기술,증권,2.45,15.95,33450,14480,0.261,○ 저평가
