Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
475150,SK이터닉스,에너지장비및서비스,48850,51.94,-4.96,10.54,56.9,67.01,62.48,16642,◎ 강세
204320,HL만도,자동차부품,70600,40.08,12.24,10.75,59.9,27.64,50.83,33152,◎ 강세
003490,대한항공,항공사,30000,26.05,9.89,5.59,63.2,17.96,31.64,110466,◎ 강세
395400,SK리츠,부동산,5840,21.67,1.04,1.92,52.8,53.58,23.59,17579,◎ 강세
051600,한전KPS,전기유틸리티,54000,17.65,-5.1,2.38,49.2,17.06,20.03,24300,◎ 강세
028050,삼성E&A,건설,52100,17.21,-4.75,1.85,47.6,16.4,19.06,102116,◎ 강세
015760,한국전력,전기유틸리티,41400,15.0,4.41,1.5,56.3,3.05,16.5,265773,◎ 강세
029780,삼성카드,카드,51700,14.38,1.37,1.97,65.2,9.7,16.35,59899,◎ 강세
011200,HMM,해운사,21300,14.21,5.97,1.82,56.2,13.93,16.03,200910,◎ 강세
081660,미스토홀딩스,"섬유,의류,신발,호화품",43750,14.38,15.13,1.6,65.5,10.99,15.98,23228,◎ 강세
