Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,19701959,337000,21500067,27.24,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,16306630,2288000,3872910,22.1,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,1864572,1413000,1053471,12.0,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1733122,216000,3081386,17.46,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1493127,1999000,1497461,188.82,7.7,,○ 우량주(#5)
005380,현대차,자동차,1324783,647000,1099804,19.95,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,846000,423000,445849,29.47,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,802730,495000,667754,33.19,6.02,,△ 중대형(#8)
329180,HD현대중공업,조선,749423,714000,395308,35.28,18.82,,△ 중대형(#9)
000270,기아,자동차,653942,167500,1297572,9.42,12.92,,△ 중대형(#10)
