Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.63,36.85,7360,1325,0.04,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.65,31.51,2490,1246,0.058,◎ 매우 저평가
016880,웅진,출판,3.41,96.89,2025,1619,0.083,◎ 매우 저평가
002990,금호건설,건설,2.03,26.79,4015,1496,0.083,◎ 매우 저평가
136490,선진,식품,2.02,23.5,9580,2278,0.108,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.27,23.71,44550,1725,0.108,◎ 매우 저평가
002380,KCC,건축자재,2.9,23.51,558000,47948,0.137,◎ 매우 저평가
001450,현대해상,손해보험,3.46,20.6,40700,34696,0.205,○ 저평가
015760,한국전력,전기유틸리티,3.05,19.4,41400,265773,0.209,○ 저평가
096760,JW홀딩스,제약,4.22,23.57,3945,2916,0.234,○ 저평가
