Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
006800,미래에셋증권,증권,51600,15.13,3.72,16.19,12.36,288737,◎ 극과매도(RSI 15)
001430,세아베스틸지주,철강,46550,21.76,4.61,23.24,2.89,16694,○ 과매도(RSI 22)
001440,대한전선,전기장비,39950,23.53,7.25,152.48,5.48,78299,○ 과매도(RSI 24)
259960,크래프톤,게임엔터테인먼트,236500,23.66,-3.27,12.79,10.6,109114,○ 과매도(RSI 24)
00680K,미래에셋증권2우B,기타,14080,23.8,7.4,,,19219,○ 과매도(RSI 24)
112610,씨에스윈드,에너지장비및서비스,43750,24.21,6.97,-107.49,3.02,18450,○ 과매도(RSI 24)
012510,더존비즈온,소프트웨어,119600,25.0,-0.42,36.63,16.0,34832,△ 약과매도(RSI 25)
012450,한화에어로스페이스,우주항공과국방,1084000,25.89,7.75,34.05,19.14,558947,△ 약과매도(RSI 26)
047050,포스코인터내셔널,무역회사와판매업체,59900,25.93,9.31,15.5,9.27,105378,△ 약과매도(RSI 26)
336260,두산퓨얼셀,에너지장비및서비스,77700,27.37,8.07,-46.81,-30.66,50889,△ 약과매도(RSI 27)
