Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.29,36.85,5810,1046,0.036,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.52,31.51,2295,1149,0.054,◎ 매우 저평가
016880,웅진,출판,3.23,96.89,1915,1531,0.101,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.04,23.71,40000,1549,0.105,◎ 매우 저평가
002990,금호건설,건설,2.58,26.79,5100,1900,0.105,◎ 매우 저평가
136490,선진,식품,1.87,23.5,8850,2104,0.109,◎ 매우 저평가
002380,KCC,건축자재,2.77,23.51,533000,45800,0.141,◎ 매우 저평가
001450,현대해상,손해보험,3.05,20.6,35950,30647,0.196,○ 저평가
015760,한국전력,전기유틸리티,2.86,19.4,38800,249082,0.199,○ 저평가
096760,JW홀딩스,제약,3.96,23.57,3700,2735,0.245,○ 저평가
