섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,21.8,14.27,,46595564
은행,11,10.82,7.87,,1919534
전자장비와기기,20,38.92,0.59,,1891016
조선,14,0.61,22.5,,1784990
자동차,10,8.7,9.16,14.29,1722325
복합기업,17,50.11,2.65,,1492782
제약,62,1.69,4.53,,1422934
전기장비,14,57.23,17.0,,1336508
전기제품,11,8.95,-9.42,,1322247
우주항공과국방,8,44.81,18.71,,1219862
생명보험,4,18.91,5.94,,976407
증권,33,8.46,8.33,8.79,969871
석유와가스,12,9.17,-0.77,,968101
자동차부품,74,4.97,5.64,16.67,809944
화학,72,-61.03,5.85,9.72,801337
기계,22,17.26,3.11,19.79,787376
손해보험,11,9.34,12.67,,490415
IT서비스,14,34.67,7.52,,487433
양방향미디어와서비스,3,19.45,5.08,,466062
건설,39,12.77,6.97,,416048
철강,36,2.03,1.47,19.75,369107
전자제품,4,-21.72,4.36,,344561
화장품,19,10.51,15.5,,339691
식품,52,2.11,1.16,,321848
전기유틸리티,4,61.0,11.65,,313969
비철금속,26,6.76,3.38,8.78,289151
무선통신서비스,3,32.45,4.67,,256238
백화점과일반상점,12,26.22,1.63,,249456
항공사,8,6.48,-83.43,,216012
해운사,8,13.38,7.94,,214871
게임엔터테인먼트,5,9.85,11.92,,207906
담배,1,16.79,11.77,,176997
에너지장비및서비스,10,-3.7,2.08,,168831
"섬유,의류,신발,호화품",45,15.28,5.37,12.23,167608
항공화물운송과물류,10,-3.29,6.89,,167510
기타,25,,,,160847
다각화된통신서비스,1,8.49,10.22,,131051
무역회사와판매업체,7,12.6,84.01,,122513
방송과엔터테인먼트,8,43.94,-12.33,,96710
부동산,28,30.81,1.34,17.8,95770
건축자재,31,1.32,3.39,,89858
가정용기기와용품,5,6.73,13.41,,84335
"호텔,레스토랑,레저",10,9.78,5.36,,78336
가스유틸리티,11,5.37,7.33,,70772
운송인프라,3,5.71,10.46,,66359
디스플레이패널,2,-74.23,3.44,,61010
카드,1,8.7,7.45,,53759
상업서비스와공급품,9,13.2,9.04,,41793
소프트웨어,2,23.15,10.78,,36143
통신장비,3,45.46,8.28,,34837
광고,3,7.92,10.32,,29185
음료,9,2.7,3.71,,24701
포장재,16,-12.58,2.8,,22560
도로와철도운송,5,-4.86,-7.55,,19559
건강관리장비와용품,5,12.43,-4.92,,17096
가구,7,17.82,4.35,,14197
핸드셋,3,-11.27,4.47,,13667
인터넷과카탈로그소매,1,9.82,4.36,,10476
복합유틸리티,1,2.38,14.84,9.33,7642
디스플레이장비및부품,3,13.5,7.49,,7181
종이와목재,10,82.04,-4.28,9.65,6414
사무용전자제품,1,15.09,1.88,,3857
창업투자,1,12.05,5.99,,2598
교육서비스,4,,,12.99,2169
건축제품,4,-3.81,-11.82,,2168
출판,2,3.23,96.89,,2142
건강관리업체및서비스,1,3.73,11.08,,1593
식품과기본식료품소매,2,2.88,11.89,,1557
전문소매,1,-15.77,-0.26,,1426
레저용장비와제품,2,3.99,6.36,,1379
가정용품,2,,,,1153
판매업체,2,,,,1022
생물공학,2,,,,972
컴퓨터와주변기기,2,,,,616
문구류,1,,,,219
