섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,15.35,14.27,,28550321
은행,11,10.92,7.87,,2090170
조선,14,0.94,22.5,,1527488
제약,62,4.59,3.12,,1464568
자동차,10,7.89,9.16,16.42,1444667
전기제품,11,3.93,-9.42,,1131896
전자장비와기기,20,25.03,0.59,,1119576
복합기업,17,41.56,2.65,,1094773
전기장비,14,47.0,17.0,,1027115
우주항공과국방,8,37.04,18.71,,1016355
증권,33,7.62,8.4,,893078
자동차부품,73,4.63,5.66,,797193
석유와가스,12,7.38,-0.77,,793948
화학,72,-42.96,5.75,9.47,686103
생명보험,4,14.08,5.94,,644897
기계,22,14.23,3.11,20.69,642628
손해보험,11,9.83,12.67,,491751
양방향미디어와서비스,3,21.05,5.08,,491727
IT서비스,14,31.88,7.52,,436659
건설,39,12.71,7.26,,371019
화장품,19,11.7,15.5,,362842
철강,36,2.94,0.36,16.62,348014
식품,52,3.51,1.31,,340743
전기유틸리티,4,53.64,11.65,,279608
전자제품,4,-27.93,4.36,,269893
비철금속,26,6.52,3.38,,269118
무선통신서비스,3,30.03,4.67,,239378
해운사,8,12.9,7.94,,235410
게임엔터테인먼트,5,10.14,11.92,,220815
항공사,8,6.43,-83.43,,202237
백화점과일반상점,12,19.87,1.63,,183699
담배,1,17.29,11.77,,182291
항공화물운송과물류,10,-1.63,7.48,,176600
"섬유,의류,신발,호화품",45,14.81,5.45,11.53,175328
기타,25,,,,133481
다각화된통신서비스,1,8.52,10.22,,131555
무역회사와판매업체,7,13.39,84.01,,129149
에너지장비및서비스,10,-1.79,2.08,,128177
부동산,28,31.21,1.28,17.84,94967
방송과엔터테인먼트,8,50.64,-2.5,,91107
가정용기기와용품,5,9.54,11.76,,89575
건축자재,31,2.11,3.84,,76944
가스유틸리티,11,5.51,7.33,,72875
"호텔,레스토랑,레저",10,8.86,5.36,,72333
운송인프라,3,6.25,10.46,,63612
카드,1,8.81,7.45,,54396
디스플레이패널,2,-56.2,3.44,,46355
상업서비스와공급품,9,13.36,9.04,,42740
광고,3,8.04,10.32,,30408
통신장비,3,35.57,8.28,,27506
음료,9,2.78,3.71,,25538
포장재,16,-24.57,2.12,,23053
도로와철도운송,5,-8.38,-10.84,,22444
건강관리장비와용품,5,12.28,-4.92,,17542
가구,7,18.44,4.35,,15684
핸드셋,3,-11.07,4.47,,12273
복합유틸리티,1,2.29,14.84,9.7,7353
종이와목재,10,70.32,-4.03,,6702
디스플레이장비및부품,3,11.25,7.49,,6149
사무용전자제품,1,15.17,1.88,,3877
창업투자,1,13.78,5.99,,2970
건축제품,4,0.46,-1.76,,2224
교육서비스,4,-2.35,-12.33,14.32,2160
출판,2,3.19,96.89,,2134
건강관리업체및서비스,1,4.49,11.08,,1916
식품과기본식료품소매,2,3.11,11.89,,1627
전문소매,1,-16.27,-0.26,,1471
레저용장비와제품,2,3.93,6.36,,1397
가정용품,2,,,,1184
소프트웨어,1,9.19,5.56,,1149
생물공학,2,,,,998
판매업체,2,,,,954
컴퓨터와주변기기,2,,,,593
문구류,1,,,,285
