Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,14001837,239500,27825493,19.36,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,11446815,1567000,5432833,15.14,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1428221,178000,3309342,14.39,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1352573,1025000,831890,8.7,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,882133,1181000,1107138,111.55,7.7,,○ 우량주(#5)
005380,현대차,자동차,804698,393000,826843,12.12,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,658720,1423000,47113,46.23,19.44,,○ 우량주(#7)
105560,KB금융,은행,601196,169500,921537,10.72,9.98,,△ 중대형(#8)
032830,삼성생명,생명보험,575000,287500,355395,20.03,4.96,,△ 중대형(#9)
028260,삼성물산,복합기업,533531,329000,299582,22.06,6.02,,△ 중대형(#10)
