Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.26,36.85,5700,1026,0.039,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.64,31.51,2475,1239,0.064,◎ 매우 저평가
016880,웅진,출판,3.37,96.89,2000,1599,0.096,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.03,23.71,39900,1545,0.107,◎ 매우 저평가
136490,선진,식품,2.11,23.5,10010,2380,0.121,◎ 매우 저평가
002380,KCC,건축자재,2.17,23.51,418500,35961,0.121,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.5,19.4,33950,217947,0.192,○ 저평가
001450,현대해상,손해보험,3.16,20.6,37200,31712,0.196,○ 저평가
036580,팜스코,식품,3.45,23.16,2950,1083,0.199,○ 저평가
096760,JW홀딩스,제약,4.08,23.57,3815,2820,0.242,○ 저평가
