섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,20.35,14.27,,34976592
은행,11,11.57,7.87,,2198794
자동차,10,8.29,9.16,15.85,1590136
조선,14,-0.59,22.5,,1532932
제약,62,2.9,4.53,,1437842
전자장비와기기,20,31.27,0.59,,1376592
전기제품,11,5.55,-9.42,,1245358
복합기업,17,43.08,2.65,,1179406
전기장비,14,53.05,16.91,,1170792
우주항공과국방,8,41.56,18.71,,1102347
증권,33,8.25,8.4,,1002719
석유와가스,12,8.01,-0.77,,891497
자동차부품,73,5.13,5.67,,807386
생명보험,4,15.44,5.94,,749209
화학,72,-50.88,6.29,9.26,747929
기계,22,14.08,3.12,20.3,686178
손해보험,11,11.17,12.67,,518778
양방향미디어와서비스,3,20.0,5.08,,453497
IT서비스,14,31.96,7.52,,448074
건설,39,13.03,7.26,,390596
화장품,19,11.44,15.5,,365259
철강,36,3.13,0.72,15.54,358343
전자제품,4,-21.1,4.36,,329310
식품,52,4.67,1.22,,327127
전기유틸리티,4,56.23,11.65,,277266
비철금속,26,6.5,3.38,,268612
무선통신서비스,3,30.64,4.67,,243299
해운사,8,13.84,7.94,,231881
백화점과일반상점,12,24.25,1.63,,226451
게임엔터테인먼트,5,9.98,11.92,,215876
항공사,8,6.1,-83.43,,199105
"섬유,의류,신발,호화품",45,15.18,5.45,10.28,182032
담배,1,16.99,11.77,,179073
항공화물운송과물류,10,-2.01,7.48,,169491
에너지장비및서비스,10,-2.56,2.08,,154945
기타,25,,,,146575
다각화된통신서비스,1,8.49,10.22,,131051
무역회사와판매업체,7,12.94,84.01,,128978
방송과엔터테인먼트,8,53.19,-2.5,,104611
부동산,28,35.23,1.34,15.91,93509
가정용기기와용품,5,9.63,11.76,,91467
건축자재,31,1.04,3.39,,83261
가스유틸리티,11,5.58,7.33,,74129
"호텔,레스토랑,레저",10,9.15,5.36,,73609
운송인프라,3,6.04,10.46,,64477
카드,1,8.92,7.45,,55091
디스플레이패널,2,-65.77,3.44,,54110
상업서비스와공급품,9,13.35,9.04,,42384
통신장비,3,39.2,8.28,,30232
광고,3,7.74,10.32,9.2,29702
음료,9,2.16,3.71,,24869
포장재,16,-10.62,2.28,,23097
도로와철도운송,5,-10.38,-10.84,,21136
건강관리장비와용품,5,12.43,-4.92,,17476
가구,7,18.26,4.35,,15236
핸드셋,3,-11.75,4.47,,12903
인터넷과카탈로그소매,1,9.82,4.36,,10476
복합유틸리티,1,2.33,14.84,9.52,7491
디스플레이장비및부품,3,13.68,7.49,,7422
종이와목재,10,90.38,-4.28,8.69,6755
사무용전자제품,1,15.87,1.88,,4056
창업투자,1,15.23,5.99,,3284
출판,2,3.51,96.89,,2276
교육서비스,4,-2.42,-12.33,13.85,2272
건축제품,4,-3.79,-11.82,,2176
건강관리업체및서비스,1,4.44,11.08,,1893
식품과기본식료품소매,2,3.01,11.89,,1648
전문소매,1,-16.03,-0.26,,1450
레저용장비와제품,2,3.99,6.36,,1426
가정용품,2,,,,1307
소프트웨어,1,9.42,5.56,,1178
판매업체,2,,,,1027
생물공학,2,,,,1003
문구류,1,,,,651
컴퓨터와주변기기,2,,,,590
