Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,16340349,279500,24873414,22.59,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,14838463,2082000,6046951,20.11,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,1823665,1382000,1014671,11.74,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1540553,192000,3128877,15.52,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1055422,1413000,942313,133.47,7.7,,○ 우량주(#5)
005380,현대차,자동차,888649,434000,941250,13.38,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,675000,337500,515532,23.51,4.96,,○ 우량주(#7)
105560,KB금융,은행,644113,181600,1769738,11.48,9.98,,△ 중대형(#8)
207940,삼성바이오로직스,제약,640204,1383000,40849,44.93,19.44,,△ 중대형(#9)
028260,삼성물산,복합기업,595155,367000,704821,24.61,6.02,,△ 중대형(#10)
