Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
069960,현대백화점,백화점과일반상점,159100,18.51,-5.69,17.31,4.64,34310,◎ 극과매도(RSI 19)
002380,KCC,건축자재,431500,22.34,-3.58,2.24,23.51,37078,○ 과매도(RSI 22)
009155,삼성전기우,전자장비와기기,511000,23.05,-5.19,48.27,,14855,○ 과매도(RSI 23)
011070,LG이노텍,전자장비와기기,688000,23.12,-9.83,33.59,6.14,162830,○ 과매도(RSI 23)
028260,삼성물산,복합기업,367000,23.79,-7.09,24.61,6.02,595155,○ 과매도(RSI 24)
001740,SK네트웍스,복합기업,8200,25.1,-3.64,18.81,2.44,16449,△ 약과매도(RSI 25)
307950,현대오토에버,IT서비스,426000,25.31,-3.51,64.61,10.27,116826,△ 약과매도(RSI 25)
085620,미래에셋생명,생명보험,17000,25.38,-0.93,20.96,5.22,22981,△ 약과매도(RSI 25)
032830,삼성생명,생명보험,337500,25.72,-2.46,23.51,4.96,675000,△ 약과매도(RSI 26)
329180,HD현대중공업,조선,471000,26.38,-8.9,23.27,18.82,494367,△ 약과매도(RSI 26)
