Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.3,36.85,5840,1051,0.039,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.7,31.51,2560,1281,0.063,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",1.99,23.71,38950,1508,0.099,◎ 매우 저평가
016880,웅진,출판,3.51,96.89,2080,1662,0.109,◎ 매우 저평가
136490,선진,식품,2.12,23.5,10060,2392,0.12,◎ 매우 저평가
002380,KCC,건축자재,2.24,23.51,431500,37078,0.12,◎ 매우 저평가
036580,팜스코,식품,3.3,23.16,2815,1034,0.181,○ 저평가
015760,한국전력,전기유틸리티,2.5,19.4,33900,217626,0.19,○ 저평가
001450,현대해상,손해보험,3.14,20.6,36950,31499,0.194,○ 저평가
096760,JW홀딩스,제약,4.17,23.57,3895,2879,0.257,○ 저평가
