Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,16603431,284000,35540134,43.27,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,14082999,1976000,7126921,33.52,44.15,,◎ 대장주(#2)
402340,SK스퀘어,복합기업,1570305,1190000,1015340,17.9,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1517284,189100,6046834,28.81,,,○ 우량주(#4)
005380,현대차,자동차,1453780,710000,4051665,20.1,8.41,,○ 우량주(#5)
329180,HD현대중공업,조선,769366,733000,490926,46.68,18.82,,○ 우량주(#6)
034020,두산에너빌리티,기계,768673,120000,4596035,909.09,1.11,,○ 우량주(#7)
009150,삼성전기,전자장비와기기,768598,1029000,1134999,113.09,7.7,,△ 중대형(#8)
000270,기아,자동차,700791,179500,2667366,9.39,12.92,,△ 중대형(#9)
028260,삼성물산,복합기업,694894,428500,825293,30.25,6.02,,△ 중대형(#10)
