Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
011210,현대위아,자동차부품,97500,19.34,26.95,2.69,68.1,26.78,22.03,26515,◎ 강세
007070,GS리테일,백화점과일반상점,26400,17.59,19.73,2.44,68.5,50.87,20.04,22072,◎ 강세
000270,기아,자동차,179500,16.11,21.78,1.92,67.0,9.39,18.03,700791,◎ 강세
034220,LG디스플레이,디스플레이패널,14170,11.05,14.46,5.45,45.7,31.28,16.5,70850,◎ 강세
005387,현대차2우B,자동차,282500,12.77,21.51,1.53,65.1,8.0,14.3,98773,◎ 강세
005385,현대차우,자동차,280500,11.09,19.36,1.95,63.4,7.94,13.04,65471,◎ 강세
005850,에스엘,자동차부품,68700,9.39,24.23,1.67,56.7,10.27,11.06,31910,○ 양호
028670,팬오션,해운사,6120,8.9,12.71,1.57,66.4,10.85,10.47,32716,○ 양호
267250,HD현대,조선,298500,4.55,22.34,1.68,67.1,24.49,6.24,235794,△ 보통
282330,BGF리테일,백화점과일반상점,133700,3.56,5.03,1.72,49.4,11.84,5.28,23109,△ 보통
