Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
298000,효성화학,화학,0.38,260.94,38900,1475,0.007,◎ 매우 저평가
016880,웅진,출판,1.6,96.89,2415,1930,0.015,◎ 매우 저평가
019180,티에이치엔,자동차부품,2.12,36.85,8100,1458,0.048,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,2.13,31.51,3325,1664,0.063,◎ 매우 저평가
002990,금호건설,건설,2.6,26.79,4455,1660,0.085,◎ 매우 저평가
136490,선진,식품,2.03,23.5,10150,2414,0.092,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.59,23.71,51600,1998,0.1,◎ 매우 저평가
036580,팜스코,식품,2.78,23.16,3095,1137,0.127,◎ 매우 저평가
000540,흥국화재,손해보험,1.68,18.85,3920,2518,0.148,◎ 매우 저평가
002380,KCC,건축자재,3.3,23.51,572000,50831,0.148,◎ 매우 저평가
