Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
175330,JB금융지주,은행,24750,4.41,-6.78,6.71,12.36,46593,◎ 극과매도(RSI 4)
000100,유한양행,제약,84700,4.62,-3.53,35.45,8.81,67462,◎ 극과매도(RSI 5)
081660,미스토홀딩스,"섬유,의류,신발,호화품",36100,8.28,-7.44,9.64,11.39,19166,◎ 극과매도(RSI 8)
012750,에스원,상업서비스와공급품,71200,11.35,-3.0,15.15,10.45,27055,◎ 극과매도(RSI 11)
026960,동서,식품,24300,12.68,-3.19,16.72,8.48,24227,◎ 극과매도(RSI 13)
207940,삼성바이오로직스,제약,1410000,13.52,-4.73,53.06,19.44,652702,◎ 극과매도(RSI 14)
316140,우리금융지주,은행,31150,16.06,-4.45,7.38,8.91,228665,◎ 극과매도(RSI 16)
138930,BNK금융지주,은행,17190,16.12,-5.18,6.69,7.58,53345,◎ 극과매도(RSI 16)
000120,CJ대한통운,항공화물운송과물류,95400,16.28,-4.31,8.99,5.98,21763,◎ 극과매도(RSI 16)
035720,카카오,양방향미디어와서비스,42950,17.03,-7.24,38.69,4.59,190316,◎ 극과매도(RSI 17)
