Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
307950,현대오토에버,IT서비스,433000,9.25,-14.93,65.68,10.27,118746,◎ 극과매도(RSI 9)
011070,LG이노텍,전자장비와기기,741000,12.31,-15.22,36.17,6.14,175373,◎ 극과매도(RSI 12)
085620,미래에셋생명,생명보험,16730,13.66,-19.37,20.63,5.22,22616,◎ 극과매도(RSI 14)
005380,현대차,자동차,445500,15.18,-7.57,13.73,8.41,912196,◎ 극과매도(RSI 15)
279570,케이뱅크,은행,5300,15.48,-5.36,15.45,5.4,21502,◎ 극과매도(RSI 15)
489790,한화비전,통신장비,43150,15.6,-13.09,64.02,5.4,21786,◎ 극과매도(RSI 16)
035420,NAVER,양방향미디어와서비스,184400,17.18,-7.75,16.01,7.37,289301,◎ 극과매도(RSI 17)
032830,삼성생명,생명보험,326000,17.24,-12.01,22.71,4.96,652000,◎ 극과매도(RSI 17)
007340,DN오토모티브,자동차부품,34100,17.28,-9.91,6.83,15.02,19952,◎ 극과매도(RSI 17)
007810,코리아써키트,전자장비와기기,70100,17.51,-12.59,26.94,11.54,16812,◎ 극과매도(RSI 18)
