Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,16252655,278000,29703616,22.47,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,15579674,2186000,6261504,21.12,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,1751088,1327000,935212,11.27,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1489201,185600,4556267,15.0,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1115177,1493000,981955,141.02,7.7,,○ 우량주(#5)
005380,현대차,자동차,912196,445500,1131600,13.73,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,652000,326000,770711,22.71,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,613804,378500,980567,25.38,6.02,,△ 중대형(#8)
207940,삼성바이오로직스,제약,613355,1325000,51344,43.05,19.44,,△ 중대형(#9)
105560,KB금융,은행,607935,171400,2385649,10.84,9.98,,△ 중대형(#10)
