Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,14001837,239500,23310969,19.36,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,10409516,1425000,3817655,13.77,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1445873,180200,2503607,14.57,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1247007,945000,494514,8.02,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,942634,1262000,724733,119.2,7.7,,○ 우량주(#5)
005380,현대차,자동차,825174,403000,327064,12.42,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,744821,1609000,69856,52.28,19.44,,○ 우량주(#7)
105560,KB금융,은행,590910,166600,1039635,10.53,9.98,,△ 중대형(#8)
032830,삼성생명,생명보험,579000,289500,287247,20.17,4.96,,△ 중대형(#9)
012450,한화에어로스페이스,우주항공과국방,566166,1098000,158144,34.49,19.14,,△ 중대형(#10)
