Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
003230,삼양식품,식품,1120000,9.21,-7.51,19.4,37.59,84370,◎ 극과매도(RSI 9)
097950,CJ제일제당,식품,200000,10.39,-1.96,-6.51,-7.67,30108,◎ 극과매도(RSI 10)
161890,한국콜마,화장품,83500,12.23,-3.58,12.55,14.69,19710,◎ 극과매도(RSI 12)
103140,풍산,비철금속,72300,14.53,-12.36,11.03,6.54,20262,◎ 극과매도(RSI 15)
103590,일진전기,전기장비,81200,14.84,-15.33,33.12,19.08,38721,◎ 극과매도(RSI 15)
047050,포스코인터내셔널,무역회사와판매업체,58500,15.45,-8.74,15.14,9.27,102915,◎ 극과매도(RSI 15)
001440,대한전선,전기장비,39950,16.25,-16.42,152.48,5.48,78299,◎ 극과매도(RSI 16)
090430,아모레퍼시픽,화장품,107500,16.91,-6.85,31.8,4.41,62880,◎ 극과매도(RSI 17)
051600,한전KPS,전기유틸리티,48650,17.65,-5.17,15.37,9.29,21892,◎ 극과매도(RSI 18)
112610,씨에스윈드,에너지장비및서비스,43850,17.93,-8.65,-107.74,3.02,18492,◎ 극과매도(RSI 18)
