섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,18.69,11.03,,36072054
복합기업,18,54.28,5.35,,3159955
자동차,10,10.36,9.16,13.86,2235826
은행,11,12.15,7.87,,2149899
조선,14,-3.55,22.5,,2002636
전자장비와기기,21,38.66,2.71,,1873268
전기제품,12,-0.66,-11.78,,1612467
제약,62,1.67,4.44,,1431612
전기장비,14,57.98,16.91,,1395875
우주항공과국방,8,47.48,18.71,,1234450
증권,33,9.03,8.33,,1116252
자동차부품,73,4.59,5.56,9.39,1027005
화학,72,-68.88,5.75,9.26,922523
생명보험,4,20.13,5.94,,903799
기계,22,15.68,3.11,18.08,896748
석유와가스,11,8.91,-0.77,,859044
IT서비스,14,45.54,7.52,,676779
양방향미디어와서비스,3,23.11,5.08,,579819
손해보험,11,7.86,12.67,,516828
전자제품,4,-17.41,4.36,,511585
건설,39,14.85,4.02,,466733
철강,36,6.69,-0.0,10.95,443375
화장품,19,10.72,15.5,,352263
식품,52,2.04,1.16,,339408
비철금속,26,6.29,3.38,8.75,331252
전기유틸리티,4,70.63,11.65,,319414
무선통신서비스,3,37.37,4.67,,294020
게임엔터테인먼트,5,11.29,11.92,,246835
백화점과일반상점,12,26.21,1.63,,240190
해운사,8,15.31,7.94,,226035
항공사,8,5.92,-83.43,,194563
"섬유,의류,신발,호화품",47,18.15,4.81,11.64,193648
담배,1,17.66,11.77,,186132
항공화물운송과물류,10,-3.41,6.89,,186036
기타,25,,,,164979
에너지장비및서비스,9,-2.43,6.17,,142055
다각화된통신서비스,1,8.82,10.22,,136092
무역회사와판매업체,6,8.96,97.89,,131112
방송과엔터테인먼트,8,53.68,-12.33,,107704
건축자재,31,-20.71,3.53,,93429
부동산,30,33.19,1.35,16.55,92512
가정용기기와용품,5,9.9,11.76,,90964
"호텔,레스토랑,레저",10,12.06,5.36,,89966
디스플레이패널,2,-93.31,3.44,,76560
가스유틸리티,11,5.74,7.33,,76308
운송인프라,3,5.29,10.46,,66829
카드,1,8.25,7.45,,53295
통신장비,3,58.06,8.28,,44322
상업서비스와공급품,9,13.49,9.04,,43468
소프트웨어,2,23.52,10.78,,36237
광고,3,8.37,10.32,,30232
음료,9,3.26,3.71,,26756
포장재,16,-31.74,2.12,,24339
도로와철도운송,5,-4.95,-7.55,,21486
건강관리장비와용품,5,12.82,-4.92,,19165
핸드셋,3,-12.26,4.47,,15822
가구,7,18.94,4.35,,14505
인터넷과카탈로그소매,1,8.58,4.36,,9156
디스플레이장비및부품,3,17.4,7.49,,9005
복합유틸리티,1,2.46,14.84,9.02,7908
종이와목재,10,83.78,-4.28,,7232
사무용전자제품,1,15.51,1.88,,3964
창업투자,1,20.22,5.99,,2830
교육서비스,4,-4.21,-10.34,11.51,2645
출판,2,3.49,96.89,,2322
건축제품,4,-4.14,-11.82,,2305
전문소매,2,-17.42,-0.26,,1927
식품과기본식료품소매,2,3.04,11.89,,1724
건강관리업체및서비스,1,3.89,11.08,,1661
생물공학,2,-2.04,-81.98,,1559
레저용장비와제품,2,4.52,6.36,,1559
가정용품,2,,,,1280
판매업체,2,,,,1067
컴퓨터와주변기기,2,,,,730
문구류,1,,,,250
