Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,19234257,329000,33725012,26.59,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,14752939,2070000,5778751,20.0,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1693003,211000,5957879,17.05,,,◎ 대장주(#3)
402340,SK스퀘어,복합기업,1660036,1258000,883256,10.68,37.82,,○ 우량주(#4)
005380,현대차,자동차,1433304,700000,1525982,21.58,8.41,,○ 우량주(#5)
009150,삼성전기,전자장비와기기,1312368,1757000,1612482,165.96,7.7,,○ 우량주(#6)
032830,삼성생명,생명보험,825000,412500,509906,35.83,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,746782,460500,837033,30.88,6.02,,△ 중대형(#8)
329180,HD현대중공업,조선,696943,664000,384815,32.81,18.82,,△ 중대형(#9)
105560,KB금융,은행,639811,171600,2955491,11.35,9.98,,△ 중대형(#10)
