Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.58,36.85,7140,1285,0.047,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.55,31.51,2340,1171,0.058,◎ 매우 저평가
002990,금호건설,건설,1.91,26.79,3770,1405,0.083,◎ 매우 저평가
016880,웅진,출판,3.49,96.89,2070,1654,0.105,◎ 매우 저평가
136490,선진,식품,2.05,23.5,9730,2314,0.116,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.28,23.71,44750,1733,0.116,◎ 매우 저평가
002380,KCC,건축자재,2.81,23.51,542000,46573,0.147,◎ 매우 저평가
000540,흥국화재,손해보험,1.54,18.85,3585,2303,0.152,○ 저평가
015760,한국전력,전기유틸리티,2.81,19.4,38100,244588,0.201,○ 저평가
001450,현대해상,손해보험,3.14,20.6,35800,30519,0.207,○ 저평가
