섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,16.29,14.27,,32592473
은행,11,10.83,7.87,,2064555
제약,62,9.37,4.44,,1586171
조선,14,-0.57,22.5,,1517433
자동차,10,7.74,9.16,19.61,1493514
전기제품,11,7.57,-9.42,,1284225
전자장비와기기,20,20.81,0.59,,1240250
복합기업,17,37.96,2.65,,1185248
우주항공과국방,8,39.12,18.71,,1121465
전기장비,14,38.26,16.91,,1093710
석유와가스,12,5.16,-0.77,,920038
증권,33,8.41,8.4,,883928
자동차부품,73,-65.58,5.55,,806574
생명보험,4,18.08,5.94,,750436
화학,72,52.49,5.75,9.26,738761
기계,22,-0.75,3.62,19.4,678327
손해보험,11,10.65,12.67,,541903
양방향미디어와서비스,3,23.97,5.08,,508567
IT서비스,14,31.66,9.05,,495491
건설,39,7.88,7.26,,411758
화장품,19,18.7,15.5,,410014
식품,52,2.85,1.25,,362546
철강,36,24.55,0.36,13.24,359184
전자제품,4,-52.11,4.36,,329654
비철금속,26,2.97,3.38,9.11,320610
무선통신서비스,3,20.65,4.67,,282893
전기유틸리티,4,39.52,11.65,,262052
해운사,8,14.8,7.94,,249831
게임엔터테인먼트,5,10.17,11.92,,212859
항공사,8,3.26,-83.43,,200020
담배,1,16.97,11.77,,178865
백화점과일반상점,12,15.22,1.63,,176095
항공화물운송과물류,10,4.23,7.48,,174155
에너지장비및서비스,10,30.83,2.08,,173414
"섬유,의류,신발,호화품",45,22.07,6.0,11.22,165934
기타,25,,,,133910
다각화된통신서비스,1,8.56,10.22,,132059
무역회사와판매업체,7,8.86,84.01,,130059
부동산,28,31.44,1.36,17.6,98131
가정용기기와용품,5,6.74,13.41,,92776
건축자재,31,0.39,3.84,,89573
방송과엔터테인먼트,8,22.29,-2.5,,88790
가스유틸리티,11,7.6,7.33,,78855
"호텔,레스토랑,레저",9,7.96,3.32,,72357
운송인프라,3,5.58,10.46,,60869
카드,1,8.66,7.45,,53469
디스플레이패널,2,-3.51,3.44,,48055
상업서비스와공급품,9,13.68,9.04,,45349
통신장비,3,13.68,8.28,,32583
광고,3,8.2,10.32,,30348
도로와철도운송,5,-10.96,-10.84,,25529
음료,9,-8.32,3.71,,25075
포장재,16,-4.7,2.12,,24183
건강관리장비와용품,5,10.98,-4.92,,17018
가구,7,25.92,4.35,,15790
핸드셋,3,-9.06,4.47,,13314
복합유틸리티,1,2.37,14.84,,8395
디스플레이장비및부품,3,-1043.86,-3.54,,7280
종이와목재,10,-1.08,-4.64,,6879
사무용전자제품,1,10.43,1.88,,3954
창업투자,1,15.02,5.99,,3237
건축제품,4,0.88,-1.76,,2344
출판,2,1.36,96.89,,2271
교육서비스,4,-2.57,-12.33,11.9,2260
건강관리업체및서비스,1,5.03,11.08,,2146
식품과기본식료품소매,2,2.21,11.89,,1702
전문소매,1,-60.87,-0.26,,1480
레저용장비와제품,2,2.39,6.36,,1394
가정용품,2,,,,1243
소프트웨어,1,7.61,5.56,,1214
판매업체,2,-52.57,-9.09,,1068
생물공학,2,,,,1030
컴퓨터와주변기기,2,,,,600
문구류,1,,,,256
