Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,14615697,250000,13756022,11.21,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,11658658,1596000,2632758,7.12,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1477165,184100,1914009,8.26,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1294174,981000,402164,3.95,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1006871,1348000,615807,103.82,7.7,,○ 우량주(#5)
005380,현대차,자동차,785246,383500,465891,12.49,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,683717,1477000,34227,40.8,19.44,,○ 우량주(#7)
105560,KB금융,은행,630989,177900,1523951,10.62,9.98,,△ 중대형(#8)
032830,삼성생명,생명보험,606000,303000,360074,21.11,4.96,,△ 중대형(#9)
028260,삼성물산,복합기업,603263,372000,308836,22.52,6.02,,△ 중대형(#10)
