섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,11.75,14.27,,29403622
은행,11,12.34,7.87,,2243272
제약,62,-5.85,4.38,,1550234
조선,14,22.44,22.5,,1518842
자동차,10,10.87,9.16,19.11,1408485
전기제품,11,194.65,-9.42,,1395413
전자장비와기기,20,20.99,0.91,,1269755
복합기업,17,21.97,2.65,,1188491
전기장비,14,7.85,17.0,,1119753
우주항공과국방,8,37.38,18.71,,1082485
석유와가스,12,-2.93,-1.49,,912642
증권,33,7.64,8.4,,901224
화학,72,19.32,5.75,9.28,800542
자동차부품,73,-44.08,5.55,,738315
기계,22,-0.82,3.99,18.75,730308
생명보험,3,18.06,5.56,,687455
손해보험,11,11.29,12.67,,586607
IT서비스,14,32.22,7.52,,479949
양방향미디어와서비스,3,26.62,5.08,,474444
건설,39,7.76,7.26,,439511
화장품,19,16.3,15.5,,419728
철강,36,-3.12,0.36,12.9,394802
식품,52,5.48,1.25,,373620
전자제품,4,-53.66,4.36,,339293
비철금속,26,1.59,3.38,9.05,321889
전기유틸리티,4,53.34,11.65,,273678
무선통신서비스,3,18.73,4.67,,254287
해운사,8,13.44,7.94,,247867
항공사,8,-49.61,-83.43,,224852
게임엔터테인먼트,5,8.99,11.92,,208079
담배,1,14.08,11.77,,181357
백화점과일반상점,12,18.42,1.63,,178719
항공화물운송과물류,10,4.45,7.48,,178340
에너지장비및서비스,10,72.06,2.08,,169718
"섬유,의류,신발,호화품",45,10.99,5.45,11.14,169158
무역회사와판매업체,7,8.77,84.01,,141541
기타,27,,,,136998
다각화된통신서비스,1,10.46,10.22,,135588
가정용기기와용품,5,6.3,13.41,,93997
부동산,28,51.48,1.41,18.04,93681
건축자재,31,3.47,3.39,,92643
방송과엔터테인먼트,8,25.07,-2.5,,92429
가스유틸리티,11,5.55,7.33,,81681
"호텔,레스토랑,레저",9,5.98,3.32,,73743
운송인프라,3,5.34,10.46,,62926
카드,1,8.74,7.45,,53990
상업서비스와공급품,9,9.42,9.04,,47333
디스플레이패널,2,-3.34,3.44,,45755
통신장비,3,13.03,8.28,,31040
광고,3,7.17,10.32,,30353
도로와철도운송,5,-7.99,-10.84,,27158
포장재,16,-26.2,2.12,,25676
음료,9,-7.42,3.71,,25525
건강관리장비와용품,5,8.14,-4.92,,17384
가구,7,24.5,4.35,,15478
핸드셋,3,-8.99,4.47,,14695
복합유틸리티,1,2.5,14.84,,8858
디스플레이장비및부품,3,-1603.76,-3.54,,7616
종이와목재,10,-0.42,-4.97,,7040
사무용전자제품,1,10.28,1.88,,3896
창업투자,1,14.98,5.99,,3230
건강관리업체및서비스,1,3.76,11.08,,2396
건축제품,4,-1.27,-1.76,,2356
교육서비스,4,-2.69,-12.33,11.71,2286
출판,2,3.07,96.89,,2188
식품과기본식료품소매,2,2.28,11.89,,1727
전문소매,1,-6.04,-0.26,,1490
레저용장비와제품,2,2.52,6.36,,1439
가정용품,2,,,,1248
소프트웨어,1,7.75,5.56,,1237
판매업체,2,-56.37,-9.09,,1158
생물공학,2,,,,1026
컴퓨터와주변기기,2,,,,624
문구류,1,,,,251
