Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,15288019,261500,19532523,11.73,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,12330711,1688000,2923810,7.53,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1579067,196800,4870443,8.83,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1395756,1058000,512126,4.26,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,993426,1330000,489014,102.43,7.7,,○ 우량주(#5)
005380,현대차,자동차,835412,408000,949402,13.29,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,740192,1599000,40816,44.17,19.44,,○ 우량주(#7)
028260,삼성물산,복합기업,628399,387500,381969,23.46,6.02,,△ 중대형(#8)
032830,삼성생명,생명보험,619000,309500,1073963,21.56,4.96,,△ 중대형(#9)
105560,KB금융,은행,590910,166600,612806,10.53,9.98,,△ 중대형(#10)
