Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.66,36.85,7500,1350,0.04,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.72,31.51,2600,1301,0.058,◎ 매우 저평가
002990,금호건설,건설,2.21,26.79,4355,1623,0.079,◎ 매우 저평가
016880,웅진,출판,3.54,96.89,2100,1678,0.09,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.28,23.71,44700,1731,0.105,◎ 매우 저평가
136490,선진,식품,2.01,23.5,9520,2264,0.105,◎ 매우 저평가
002380,KCC,건축자재,2.91,23.51,560000,48120,0.13,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.93,19.4,39800,255502,0.184,○ 저평가
001450,현대해상,손해보험,3.5,20.6,41250,35165,0.199,○ 저평가
096760,JW홀딩스,제약,4.18,23.57,3905,2887,0.224,○ 저평가
