섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,23.83,14.27,,41333418
은행,11,12.55,7.87,,2192887
조선,14,-4.38,22.5,,2161487
자동차,10,10.28,9.16,13.07,2145390
전자장비와기기,20,40.78,0.64,,2036420
전기장비,14,61.17,16.91,,1560659
복합기업,17,55.46,2.65,,1544505
전기제품,11,9.45,-9.42,,1543443
우주항공과국방,8,55.69,18.71,,1442945
제약,62,3.73,4.44,,1427869
증권,33,9.73,8.33,,1117447
자동차부품,74,5.49,5.67,10.62,1031180
화학,72,-72.68,5.75,9.11,986434
생명보험,4,22.26,5.94,,966502
기계,22,20.95,3.11,16.96,935480
석유와가스,12,9.1,-0.77,,896872
IT서비스,14,42.41,7.52,,605399
양방향미디어와서비스,3,22.75,5.08,,559550
건설,39,16.72,4.08,,540601
손해보험,11,10.38,12.67,,523606
철강,36,4.58,-0.41,13.1,446576
전자제품,4,-22.47,4.36,,396638
화장품,19,11.34,15.5,,359984
식품,52,1.8,1.03,,345918
비철금속,26,7.08,3.38,8.39,336664
전기유틸리티,4,74.71,11.65,,335003
무선통신서비스,3,35.9,4.67,,284468
백화점과일반상점,12,29.31,1.63,,273366
해운사,8,9.29,8.06,,252953
게임엔터테인먼트,5,10.89,11.92,,233194
항공사,8,6.72,-83.43,,222866
에너지장비및서비스,10,-7.11,2.08,,218453
항공화물운송과물류,10,-3.42,6.89,,197015
담배,1,18.22,11.77,,192049
"섬유,의류,신발,호화품",45,17.18,5.37,11.04,185319
기타,25,,,,167262
무역회사와판매업체,7,15.91,84.01,,160289
다각화된통신서비스,1,9.24,10.22,,142644
방송과엔터테인먼트,8,51.9,-12.33,,113840
부동산,28,33.83,1.4,16.88,100514
건축자재,31,-22.56,3.53,,98074
"호텔,레스토랑,레저",10,12.11,5.36,,92349
가정용기기와용품,5,10.14,11.76,,90345
가스유틸리티,11,5.91,7.33,,79509
디스플레이패널,2,-85.46,3.44,,70160
운송인프라,3,5.98,10.46,,67160
카드,1,10.0,7.45,,61753
상업서비스와공급품,9,13.94,9.04,,47055
통신장비,3,57.94,8.28,,44150
소프트웨어,2,23.66,10.78,,36269
광고,3,8.92,10.32,,33711
음료,9,3.04,3.71,,26865
포장재,16,-32.65,2.12,,26307
도로와철도운송,5,-4.87,-7.55,,21753
건강관리장비와용품,5,12.86,-4.92,,19442
핸드셋,3,-16.94,4.47,,17043
가구,7,20.02,4.35,,15654
인터넷과카탈로그소매,1,9.65,4.36,,10296
디스플레이장비및부품,3,16.68,7.49,,8638
복합유틸리티,1,2.63,14.84,8.42,8464
종이와목재,10,90.45,-4.28,,7299
사무용전자제품,1,16.59,1.88,,4241
창업투자,1,12.79,5.99,,2757
교육서비스,4,-2.93,-12.33,10.44,2560
건축제품,4,-4.55,-11.82,,2460
출판,2,3.54,96.89,,2344
식품과기본식료품소매,2,3.08,11.89,,1740
건강관리업체및서비스,1,4.05,11.08,,1728
전문소매,1,-17.81,-0.26,,1610
레저용장비와제품,2,4.56,6.36,,1559
생물공학,2,,,,1368
가정용품,2,,,,1282
판매업체,2,,,,1095
컴퓨터와주변기기,2,,,,726
문구류,1,,,,258
