Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
475150,SK이터닉스,에너지장비및서비스,55800,63.4,25.53,14.61,64.4,76.54,78.01,19009,◎ 강세
204320,HL만도,자동차부품,76900,49.03,24.64,4.23,65.3,30.11,53.26,36110,◎ 강세
079550,LIG디펜스앤에어로스페이스,우주항공과국방,1002000,38.21,20.14,4.24,57.6,70.9,42.44,220440,◎ 강세
281820,케이씨텍,반도체와반도체장비,90100,35.69,26.37,2.67,63.0,24.16,38.36,17839,◎ 강세
375500,DL이앤씨,건설,89400,28.45,11.33,4.31,59.4,7.67,32.76,34592,◎ 강세
028050,삼성E&A,건설,56700,22.07,12.06,3.41,53.4,17.85,25.47,111132,◎ 강세
272210,한화시스템,우주항공과국방,106400,22.86,2.01,2.35,42.1,126.07,25.21,201010,◎ 강세
006360,GS건설,건설,31850,20.42,-0.47,3.45,50.0,41.8,23.87,27258,◎ 강세
009540,HD한국조선해양,조선,438500,20.97,5.41,1.9,48.4,12.33,22.86,310340,◎ 강세
000720,현대건설,건설,147800,20.85,-4.65,1.95,48.3,38.98,22.8,164584,◎ 강세
