Code,종목명,섹터,종가,MA5,MA20,거래량배수,5일수익률(%),시총_억,평가
475150,SK이터닉스,에너지장비및서비스,55800,46510.0,41507.5,14.61,63.4,19009,◎ 강한신호(거래량 14.6배)
375500,DL이앤씨,건설,89400,76580.0,75700.0,4.31,28.45,34592,◎ 강한신호(거래량 4.3배)
079550,LIG디펜스앤에어로스페이스,우주항공과국방,1002000,834600.0,816050.0,4.24,38.21,220440,◎ 강한신호(거래량 4.2배)
204320,HL만도,자동차부품,76900,62560.0,59395.0,4.23,49.03,36110,◎ 강한신호(거래량 4.2배)
029780,삼성카드,카드,53300,49970.0,47752.5,3.51,17.53,61753,◎ 강한신호(거래량 3.5배)
004990,롯데지주,복합기업,26850,26610.0,26132.5,3.16,2.68,26760,◎ 강한신호(거래량 3.2배)
035250,강원랜드,"호텔,레스토랑,레저",16170,15698.0,15350.5,2.95,9.85,34594,○ 양호(거래량 3.0배)
030000,제일기획,광고,21100,20006.0,18959.5,2.87,15.68,24274,○ 양호(거래량 2.9배)
281820,케이씨텍,반도체와반도체장비,90100,80900.0,69955.0,2.67,35.69,17839,○ 양호(거래량 2.7배)
024110,기업은행,은행,23100,21830.0,20822.5,2.19,12.41,184205,○ 양호(거래량 2.2배)
