Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,14937242,255500,27102479,20.65,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,10986605,1504000,4566672,14.53,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1493213,186100,3165472,15.04,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1351254,1024000,708475,8.7,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,997161,1335000,701750,126.1,7.7,,○ 우량주(#5)
005380,현대차,자동차,838483,409500,411565,12.62,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,717047,1549000,69313,50.33,19.44,,○ 우량주(#7)
032830,삼성생명,생명보험,605000,302500,383931,21.07,4.96,,△ 중대형(#8)
012450,한화에어로스페이스,우주항공과국방,596073,1156000,300729,36.31,19.14,,△ 중대형(#9)
105560,KB금융,은행,588782,166000,920851,10.5,9.98,,△ 중대형(#10)
