Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
298000,효성화학,화학,0.38,260.94,38900,1475,0.007,◎ 매우 저평가
016880,웅진,출판,1.59,96.89,2400,1918,0.015,◎ 매우 저평가
019180,티에이치엔,자동차부품,1.89,36.85,7220,1300,0.051,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.91,31.51,2985,1494,0.066,◎ 매우 저평가
002990,금호건설,건설,2.18,26.79,4300,1602,0.084,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.45,23.71,48050,1861,0.109,◎ 매우 저평가
136490,선진,식품,2.26,23.5,10710,2547,0.117,◎ 매우 저평가
002380,KCC,건축자재,3.06,23.51,530000,45542,0.135,◎ 매우 저평가
000540,흥국화재,손해보험,1.69,18.85,3945,2534,0.153,○ 저평가
015760,한국전력,전기유틸리티,2.96,19.4,39400,252934,0.182,○ 저평가
