섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,17.51,11.03,,33290829
복합기업,18,60.98,5.35,,2975777
자동차,10,18.69,9.16,12.27,2199979
조선,14,-11.29,20.72,,2087408
은행,11,11.78,7.87,,2007364
전기장비,14,71.06,16.91,,1708001
전기제품,12,7.14,-11.78,,1633206
제약,62,-15.46,3.43,,1514536
우주항공과국방,8,49.32,15.63,,1417009
전자장비와기기,21,55.76,2.71,,1382974
증권,33,10.19,8.33,,1200382
자동차부품,73,5.91,5.67,,1012747
화학,72,41.03,5.74,8.51,976708
기계,22,24.54,3.04,16.86,970932
석유와가스,11,16.29,-0.77,,826814
생명보험,4,17.49,5.94,,789103
IT서비스,14,43.82,9.05,,536640
건설,39,17.59,4.02,,530300
철강,36,-29.51,-0.18,10.28,506153
양방향미디어와서비스,3,25.04,5.08,,498928
손해보험,11,8.45,12.67,,476627
전자제품,4,25.62,4.36,,398932
화장품,19,13.3,15.5,,371460
비철금속,26,16.22,3.38,8.59,370631
식품,52,9.28,1.22,,367553
전기유틸리티,4,56.5,11.65,,336750
무선통신서비스,3,33.52,4.67,,288554
게임엔터테인먼트,5,11.16,11.92,,240699
해운사,8,11.0,8.06,,240224
백화점과일반상점,12,75.11,1.63,,231400
"섬유,의류,신발,호화품",47,11.06,5.12,11.79,208119
항공화물운송과물류,10,-14.37,6.89,,206453
항공사,8,3.09,-83.43,,204361
담배,1,17.82,11.77,,187897
기타,25,,,,181072
에너지장비및서비스,9,22.68,6.17,,158806
무역회사와판매업체,6,9.65,97.89,,150004
다각화된통신서비스,1,8.11,10.22,,140376
방송과엔터테인먼트,8,17.24,-12.33,,117696
부동산,30,60.36,1.33,15.25,100728
건축자재,31,-5.74,3.53,,97815
가정용기기와용품,5,11.02,11.76,,92054
"호텔,레스토랑,레저",10,11.52,5.36,,89831
가스유틸리티,11,8.05,7.33,,83950
디스플레이패널,2,-90.43,3.44,,74210
운송인프라,3,5.73,10.46,,67427
카드,1,8.59,7.45,,55496
통신장비,3,60.45,8.28,,47273
상업서비스와공급품,9,6.74,9.04,,42736
소프트웨어,2,31.34,10.78,,39118
광고,3,9.2,10.32,,31301
음료,9,-7.08,3.71,,27993
포장재,16,24.38,2.12,,27829
도로와철도운송,5,-2.57,-7.55,,22245
건강관리장비와용품,5,16.71,-4.92,,20806
핸드셋,3,1813.22,4.47,,17597
가구,7,8.53,4.35,,15448
인터넷과카탈로그소매,1,10.06,4.36,,9960
디스플레이장비및부품,3,11.02,7.49,,9805
종이와목재,10,65.54,-4.97,,8448
복합유틸리티,1,2.62,14.84,8.45,8441
사무용전자제품,1,16.08,1.88,,4110
창업투자,1,23.96,5.99,,3354
교육서비스,4,-3.83,-10.34,10.2,2922
건축제품,4,-3.35,-11.82,,2648
출판,2,1.59,96.89,,2627
전문소매,2,-66.99,-0.26,,2018
식품과기본식료품소매,2,3.18,11.89,,1879
건강관리업체및서비스,1,6.19,11.08,,1806
생물공학,2,-2.12,-81.98,,1774
레저용장비와제품,2,6.83,6.36,,1662
가정용품,2,,,,1433
판매업체,2,-11.55,-9.09,,1192
컴퓨터와주변기기,2,,,,775
문구류,1,,,,284
