Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
023530,롯데쇼핑,백화점과일반상점,112600,17.93,-12.17,19.47,0.34,31853,◎ 극과매도(RSI 18)
069960,현대백화점,백화점과일반상점,113300,19.32,-18.84,12.33,4.64,24433,◎ 극과매도(RSI 19)
011070,LG이노텍,전자장비와기기,424000,22.05,-37.56,20.7,6.14,100349,○ 과매도(RSI 22)
009420,한올바이오파마,제약,39000,25.22,-21.45,-402.06,-3.37,20374,△ 약과매도(RSI 25)
000990,DB하이텍,반도체와반도체장비,71200,25.35,-35.33,10.55,12.52,30975,△ 약과매도(RSI 25)
000660,SK하이닉스,반도체와반도체장비,1322000,25.65,-31.11,12.77,44.15,9657109,△ 약과매도(RSI 26)
004170,신세계,백화점과일반상점,396000,26.24,-27.21,49.86,0.32,37403,△ 약과매도(RSI 26)
000500,가온전선,전기장비,107600,26.5,-50.41,57.48,10.97,32041,△ 약과매도(RSI 26)
128940,한미약품,제약,311500,27.11,-19.92,23.14,14.53,39906,△ 약과매도(RSI 27)
005380,현대차,자동차,351000,27.23,-18.75,10.82,8.41,718700,△ 약과매도(RSI 27)
