Code,종목명,섹터,종가,MA5,MA20,거래량배수,5일수익률(%),시총_억,평가
090430,아모레퍼시픽,화장품,134000,123240.0,121405.0,2.9,12.61,78380,○ 양호(거래량 2.9배)
068270,셀트리온,제약,190000,180740.0,176450.0,2.59,10.34,441852,○ 양호(거래량 2.6배)
259960,크래프톤,게임엔터테인먼트,259000,247500.0,239125.0,2.5,9.05,119497,○ 양호(거래량 2.5배)
003230,삼양식품,식품,1243000,1203400.0,1136200.0,2.37,10.29,93635,○ 양호(거래량 2.4배)
439260,대한조선,조선,49050,47850.0,47615.0,1.93,0.31,18683,△ 보통(거래량 1.9배)
103140,풍산,비철금속,59900,62000.0,63030.0,1.79,-8.13,16787,△ 보통(거래량 1.8배)
051600,한전KPS,전기유틸리티,43450,44720.0,44465.0,1.68,-6.46,19552,△ 보통(거래량 1.7배)
097950,CJ제일제당,식품,189300,191180.0,190900.0,1.63,-0.47,28498,△ 보통(거래량 1.6배)
030000,제일기획,광고,19170,19006.0,18865.0,1.61,2.02,22053,△ 보통(거래량 1.6배)
010140,삼성중공업,조선,20550,21240.0,21907.5,1.51,-13.11,180840,△ 보통(거래량 1.5배)
