Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,12101797,207000,46694193,16.73,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,9657109,1322000,9543189,12.77,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1211581,151000,5680457,12.2,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1054348,799000,1364135,6.79,37.82,,○ 우량주(#4)
005380,현대차,자동차,718700,351000,961582,10.82,8.41,,○ 우량주(#5)
207940,삼성바이오로직스,제약,706863,1527000,83710,49.61,19.44,,○ 우량주(#6)
009150,삼성전기,전자장비와기기,656558,879000,1400040,83.03,7.7,,○ 우량주(#7)
105560,KB금융,은행,593747,167400,1676656,10.58,9.98,,△ 중대형(#8)
032830,삼성생명,생명보험,528000,264000,617177,18.39,4.96,,△ 중대형(#9)
055550,신한지주,은행,478452,100800,1471543,9.61,8.72,,△ 중대형(#10)
